source	target	weight
PA14_18140	PA14_37290	0.901713863031295
PA14_26020	PA14_37290	0.913398038345787
PA14_37210	PA14_37290	0.94521339937083
PA14_37250	PA14_37290	0.968424268872403
PA14_00620	PA14_37310	0.899111994789907
PA14_09240	PA14_37310	0.854842929574843
PA14_09370	PA14_37310	0.852848159331042
PA14_09450	PA14_37310	0.96125994986802
PA14_09500	PA14_37310	0.876664587117559
PA14_18140	PA14_37310	0.891371756230073
PA14_26020	PA14_37310	0.910841706668552
PA14_37210	PA14_37310	0.961625584559486
PA14_37250	PA14_37310	0.969852590706288
PA14_37290	PA14_37310	0.990757557407985
PA14_06170	PA14_38210	0.86892648591131
PA14_06180	PA14_38210	0.864631978049771
PA14_09270	PA14_38210	0.884819674194448
PA14_09340	PA14_38210	0.889182780542204
PA14_09350	PA14_38210	0.939328235791006
PA14_09380	PA14_38210	0.870736764094116
PA14_11140	PA14_38210	0.853243073565131
PA14_31350	PA14_38210	0.859163235463619
PA14_32720	PA14_38210	0.951987791112055
PA14_33260	PA14_38210	0.924508724834885
PA14_34870	PA14_38210	0.856805930030627
PA14_06170	PA14_38220	0.873955353496404
PA14_06180	PA14_38220	0.86434280873967
PA14_09230	PA14_38220	0.865858012008108
PA14_09270	PA14_38220	0.867866984792388
PA14_09340	PA14_38220	0.895926574653592
PA14_09350	PA14_38220	0.900411745996069
PA14_09380	PA14_38220	0.861499434129584
PA14_11140	PA14_38220	0.896894616680274
PA14_31350	PA14_38220	0.898603085252696
PA14_32720	PA14_38220	0.938482143732855
PA14_33260	PA14_38220	0.917308764251426
PA14_34870	PA14_38220	0.890418423924217
PA14_38210	PA14_38220	0.97920109598985
PA14_16100	PA14_38270	0.92867084226195
PA14_09270	PA14_39780	0.850090542937187
PA14_13450	PA14_39780	0.872894515656651
PA14_18140	PA14_39780	0.884776504130153
PA14_06170	PA14_39810	0.879339715056408
PA14_06180	PA14_39810	0.857946452985589
PA14_09340	PA14_39810	0.851169459885781
