gene	condition	mean_expr	mean_z	active_z_ge_1
PA14_06690	transitional.growth	2.7003671760707	1.31321148236943	TRUE
PA14_06700	transitional.growth	2.74618580846209	1.16429070627689	TRUE
PA14_06710	transitional.growth	2.73599001187614	1.12494907541515	TRUE
PA14_06720	transitional.growth	3.05333687392838	1.02070246589402	TRUE
PA14_06730	transitional.growth	2.86934038217729	1.20459167454998	TRUE
PA14_06740	transitional.growth	3.0389330559263	1.1474520881163	TRUE
PA14_06750	transitional.growth	3.47087868015151	1.07834940726305	TRUE
PA14_06790	transitional.growth	2.65798132660494	1.18015765858953	TRUE
PA14_06800	transitional.growth	2.22860726799015	0.99540501650372	FALSE
PA14_06810	transitional.growth	2.97983486860281	1.03937373011248	TRUE
PA14_06830	transitional.growth	3.29178862453817	1.1540113657785	TRUE
